BOX	ROW	COL	NAME_VALUE	PACKAGE	NOTICE	QUANTITY_LOW
A1	1	1	EL7212	SOP8	未测试，淘宝货	
A1	1	2	AD9826#	SSOP	损坏，勿用	
A1	1	5	SK34肖特基管			
A1	1	6	3.3uH	0603	低耐流	
A1	1	7	74HCT540DB			
A1	1	8	100nF	0603		
A1	2	1	PNP	SOT23	无编号	
A1	2	2	330nF	0603		
A1	2	3	EG27517驱动器		已弃用	
A1	2	4	MCP1416T驱动器	SOT23-5		T
A1	2	5	1uF	0603		
A1	2	6	0Ohm	0603		
A1	2	7	1kOhm	0603		
A1	2	8	100nF	0603	不要向其添加电容	
A1	3	1	100Ohm	0603	0.10%	
A1	3	2	1kOhm	0603	0.10%	
A1	3	3	10kOhm	0603	0.10%	
A1	3	4	1kOhm	0805	0.10%	
A1	3	5	10kOhm	0805	0.10%	
A1	3	6	100kOhm	0805	0.10%	
A2	1	2	500Ohm	0805		
A2	1	3	9.53kOhm	0805		
A2	1	5	7.15kOhm	0805		
A2	1	6	17.8kOhm	0805		
A2	1	7	29.4kOhm	0805		
A2	1	8	32.4kOhm	0805		
A2	2	1	40.2kOhm	0805		
A2	2	2	52.3kOhm	0805		
A2	2	3	61.9kOhm	0805		
A2	2	4	73.2kOhm	0805		
A2	2	5	91kOhm	0805		
A2	2	6	160kOhm	0805		
A2	2	7	80.6kOhm	0805		
A2	2	8	499kOhm	0805		
A2	3	5	10MOhm	0805		
A2	3	6	8.06MOhm	0805		
A2	3	7	12MOhm	0805		
A2	3	8	16MOhm	0805		
A3	1	1	W25Q128 NOR FLASH	SOP8	C97521	
A3	1	2	4.02MOhm	1206		
A3	1	3	肖特基 30V 2A		C145508	
A3	1	4	PC817C	SMD		
A3	1	5	22pF 50V	0805		
A3	1	6	按钮开关	6x3.8SMD	C221790	
A3	1	7	22uH	6x6.3	C501934	
A3	1	8	LED蓝色	1206		
A3	2	1	LED翠绿	1206		
A3	2	2	100nF	0603	不要向其添加电容	
A3	2	3	LED翠绿	0805		
A3	2	4	1.5kOhm	0603	1%	
A3	2	5	78.7kOhm	0603	1%	
A3	2	6	51.1kOhm	0603	1%	
A3	2	7	11.5kOhm	0603	1%	
A3	2	8	10uF	0603	10V	
A3	3	1	20.5kOhm	0603	1%	
A3	3	2	LED黄色	0603		
A3	3	3	10.5kOhm	0603	1%	
A4	1	6	3.6kOhm	0805		
A4	2	3	9.1kOhm	0805		
A4	2	5	13kOhm	0805		
A4	2	8	30kOhm	0805		
A5	1	1	MCP4726		AOT	
A5	1	2	MCP4716		AOT	
A5	1	3	MCP4725		AOT	
A5	1	4	GP8302			
A5	1	5	DAC121C085			T
A5	2	1	MS1100			
A5	2	2	TM7705			
A5	2	3	MAX6675			
A5	2	4	ADS1000A0			T
A5	2	5	INA226			
A5	2	6	ASD1115			
A5	3	1	BH1750			
A5	3	2	TMP75			
A5	3	3	N9301			
A5	3	4	ET6226			
A5	3	5	XL7660			
A5	3	6	FH2120CB			
A6	1	1	HDMI-D			
A6	1	3	测试针			
A6	1	4	OP07CDR	SOP8	进口	
A6	1	5	7806	TO252		
A6	1	6	SN74LVC3-8译码器	SOP16		
A6	1	7	7905	TO252		
A6	1	8	7805	TO252		
A6	2	1	33Ohm排阻	0602x8		
A6	2	2	33Ohm排阻	0603x4		
A6	2	3	7908	TO252		
A6	2	4	AMS1117-3.3	SOT89		
A6	2	5	PI90LV01TEX差分驱动器	SOT23-5		
A6	2	6	PI90LV02TEX差分接收器	SOT23-5		
A6	2	7	51Ohm排阻	0402x8		
A7	1	1	IN4148二极管			
A7	1	2	IN4007二极管			
A7	1	3	IN5819二极管			
A7	1	4	SS34二极管			
A7	1	5	SS54二极管			
A7	1	6	SB1045L二极管			
A7	2	1	ZN齐纳二极管		4.7V	
A7	2	2	TVS		5V	
	1	1	TMAG5170A2三轴霍尔传感器		量程极大	
	1	2	TF2123			
	1	3	SX1308			
	1	4	TS5A23166			
	1	5	HT7660			
	1	6	MPU6050			
	1	7	BMP280			
	1	8	TS5A3167			
	2	1	GP9305 ADC->PWM		只有50Hz，不建议使用	
	2	2	AH602霍尔器件	SOT23		
	2	3	AMS1117-1.2V			
	2	4	AMS1117-2.5V			
	2	5	AMS1117ADJ		1.25V-11V	
	2	6	AMS1117-1.8V			
	2	7	AMS1117-3.3V			
	3	3	NAND-GATE		C434066	
	3	4	NOR-GATE		C434067	
	3	7	FPC-8Pin	1.28mm		
	3	8	FPC-4Pin	1.28mm		
	1	5	10kOhm	0805	0.1%	
	1	6	500kOhm	0805	0.1%	
	2	1	SS39ET	SOT23		T
	2	6	LM358	SOP8	使用GS2262替代	
	3	1	SS49E	TO92		
		3	SS495ASP		精度较高	
		4	磁珠	0603		
		7	AD9826			
		8	SS495A	TO92		
