BOX	ROW	COL	NAME_VALUE	PACKAGE	NOTICE	QUANTITY_LOW
B1	1	1	LM358		使用GS2262替代	
B1	1	2	TP4056			
B1	1	3	OP07CRZ			
B1	1	4	NE555			
B1	1	5	TLV333			
B1	1	6	BL1551			
B1	1	7	HX3608			
B1	1	8	LM393			
B1	2	1	NE5532			
B1	2	2	INA826			
B1	2	3	RH6618			
B1	2	4	CH340N			
B1	2	5	74HC595			
B1	2	6	ULN2003A			
B1	2	7	INA180			
B1	2	8	TPS562201			
B1	3	1	DS18B20			
B2	1	2	TLV9361			
B2	1	3	TX4121			
B2	1	4	TX6120			
B2	1	5	TX41601			
B2	1	6	HX717			
B2	1	7	ME2188			
B2	1	8	LM339			
B2	2	1	INA214A			
B2	2	2	INA211A			
B2	2	3	TP1001S3			
B2	2	4	SLM2169			
B2	2	5	FM2113B			
B2	2	6	TX6121			
B2	2	7	IP5306			
B2	2	8	SLM6600			
B2	3	1	HEF4043			
B2	3	2	CH224K			
B2	3	3	PT2041AT6			
B2	3	4	CH304C			
B2	3	5	CD4052			
B2	3	6	CD4066			
B2	3	7	CD4051			
						
						
